prob_baja_2,enviados,TPR,sensibilidad,especificidad,FPR,precision,accuracy,f1,ganancia
0.021897810218978103,14108,0.7445127304653204,0.7445127304653204,0.9182213450923556,0.08177865490764435,0.06010774028919762,0.917009627397663,0.11123499704859972,544830000.0
0.02132701421800948,14530,0.752414398595259,0.752414398595259,0.9156742421906319,0.08432575780936813,0.05898141775636614,0.9145354106954754,0.10938796349479865,543125000.0
0.018575851393188854,14853,0.7576821773485514,0.7576821773485514,0.9137192019488729,0.0862807980511271,0.05810274018716757,0.9126307537786923,0.10792896448224112,540842500.0
0.017241379310344827,15317,0.7647058823529411,0.7647058823529411,0.9109069043140399,0.08909309568596013,0.05686492132924202,0.9098870679307219,0.1058580456976179,536882500.0
0.015717092337917484,16844,0.7857769973661106,0.7857769973661106,0.9016374232939652,0.09836257670603477,0.05313464735217288,0.900829230053159,0.09953845298337319,521290000.0
0.015060240963855422,17176,0.7901668129938543,0.7901668129938543,0.89962070985846,0.10037929014154001,0.05239869585468095,0.8988572058499302,0.09828009828009827,517660000.0
0.015021459227467811,17642,0.7963125548726954,0.7963125548726954,0.8967899102655031,0.10321008973449686,0.05141140460265276,0.8960890228068886,0.09658697619935042,512545000.0
0.015,17842,0.7989464442493416,0.7989464442493416,0.8955749483487002,0.10442505165129978,0.05100325075664163,0.8949009088459371,0.09588535904325378,510345000.0
0.015,18042,0.8015803336259877,0.8015803336259877,0.8943599864318974,0.1056400135681026,0.050604145881831285,0.8937127948849857,0.0951983733903342,508145000.0
0.014423076923076924,18250,0.8042142230026339,0.8042142230026339,0.8930956859600975,0.10690431403990253,0.05019178082191781,0.8924756865338919,0.09448656454690806,505725000.0
0.014344262295081968,18738,0.810359964881475,0.810359964881475,0.8901292053408986,0.10987079465910143,0.04925819190948874,0.8895727689179589,0.09287115761935905,500005000.0
0.013029315960912053,19045,0.8138718173836699,0.8138718173836699,0.8882605075703845,0.11173949242961545,0.048674192701496456,0.8877416035863893,0.09185493460166469,495962500.0
0.012924071082390954,19664,0.8208955223880597,0.8208955223880597,0.8844922754324833,0.11550772456751668,0.04754882017900732,0.8840486514294114,0.08989088112291496,487740000.0
0.012658227848101266,20533,0.8305531167690957,0.8305531167690957,0.8792007154090474,0.12079928459095257,0.04607217649637169,0.8788613703730923,0.08730158730158728,475942500.0
0.012594458438287154,20930,0.8349429323968394,0.8349429323968394,0.876783126214191,0.12321687378580903,0.045437171524128045,0.8764912667499571,0.08618424033712446,470525000.0
0.012422360248447204,21413,0.8402107111501317,0.8402107111501317,0.8738413148724907,0.12615868512750927,0.04469247653294728,0.8736067220303275,0.08487052146151118,463842500.0
0.012396694214876033,21655,0.8428446005267779,0.8428446005267779,0.8723673255419532,0.12763267445804682,0.04433156314938813,0.8721613875211288,0.08423269281389839,460487500.0
0.012345679012345678,21898,0.845478489903424,0.845478489903424,0.8708871688920411,0.1291128311079589,0.04397661886930313,0.8707099287131623,0.08360463602031513,457105000.0
0.012244897959183673,22143,0.8481123792800702,0.8481123792800702,0.8693946776033797,0.13060532239662026,0.04362552499661292,0.8692462213076603,0.08298256163559832,453667500.0
